category,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual_total,budget_total,variance_percent
ravel & Motor,507,347,327,336,654,410,427,479,693,422,415,1265,6282,3488,
Motor Insurance,239,239,239,239,239,239,239,239,239,239,239,239,2869,1913,
Postage & Carriage,3284,1638,1883,577,1001,834,695,1088,884,710,3505,1639,17739,11001,
Software & Stationary,334,607,644,645,804,825,690,734,431,432,504,358,7009,5284,
Sofware Yearly Subscriptions,95,95,95,95,95,95,95,95,95,95,95,95,1145,763,
Telephone,351,451,173,133,499,143,143,492,116,131,165,133,2931,2385,
Book-keeping,1080,840,1440,1440,1440,1560,1353,1560,1320,1320,1560,960,15873,10713,
Audit & Accountancy,108,120,108,108,108,108,108,108,108,108,108,108,1311,878,
Legal & Professional,156,0,0,0,0,26,29,23,403,27,0,123,787,234,
Light & Heat,1819,1574,2018,2660,2218,2198,2287,1932,2047,2110,1718,1799,24380,16706,
Repairs & Renewals,2315,1803,3097,3237,1612,2105,223,1617,1606,673,1286,1084,20657,16009,
Yearly Maintenace Contracts,119,119,119,119,119,119,119,119,119,119,119,119,1425,950,
Property Repairs,15,0,9,453,122,0,167,0,188,50,0,0,1004,766,570.9
Canteen & Cleaning,59,29,208,198,82,170,87,196,182,209,109,147,1677,1030,
Rent,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,42600,28400,
Mis Expenses,0,0,0,0,0,0,0,0,0,0,0,1648,1648,0,
Subs/ Donations,6,6,6,6,6,194,6,6,6,6,6,6,256,234,
Sub Total,14038,11418,13917,13796,12549,12577,10219,12240,11988,10200,13380,13272,149594,100754,
Non-Prod wages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sales wages,2833,2833,2833,2833,2833,2833,2833,2833,2833,2833,2833,2833,34000,22667,
NI,362,362,362,286,286,362,362,362,362,362,362,362,4197,2747,
Pension,69,69,69,69,69,69,69,69,69,69,69,69,833,555,
Insurance,170,170,170,170,170,170,170,170,170,170,170,170,2039,1359,
Rates,1240,1240,1220,1220,1220,1217,1261,1240,1240,1240,1240,1240,14814,9856,
Water,96,175,97,97,108,93,88,93,88,93,93,88,1208,846,
Bank Charges/ Interest,48,1453,804,60,1779,54,48,1599,135,50,1757,54,7842,5845,
HP - Xerox Rental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Medical Insurance,230,230,230,231,460,230,230,230,230,230,230,230,2991,2071,
Depn Fixtures/ Fittings,126,126,185,185,22,20,98,126,126,126,126,126,1387,885,
Depn Plant/ Equipment,2200,2200,2200,2200,2200,2200,2200,500,500,500,500,500,17900,15900,
Depn Motor Vehicles,840,840,840,840,840,840,840,840,840,840,840,840,10074,6716,
HP - Xerox Rental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HP - City West End,,,,,,,,,,,,,,,
Motor Expenses - Bill,441,207,390,357,454,275,345,431,371,359,283,289,4203,2900,
Network/ E-Mail,50,50,50,50,50,50,50,50,50,50,50,50,600,400,
Entertainment,88,515,291,94,629,1078,0,125,30,172,36,140,3197,2818,
Refuse,446,210,6,283,286,582,312,307,302,277,570,201,3783,2433,
Alarm Maintenance,34,0,0,0,0,0,0,485,0,0,0,0,519,519,
Advertising,0,0,0,0,0,0,0,0,257,0,2750,0,3007,0,
Staff Training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pension Fund,250,250,250,250,250,250,250,250,250,250,250,250,3000,2000,
Loan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,23560,22348,23914,23021,24204,22900,19375,21949,19843,17821,25539,20715,265188,181271,
